context,sense
"When no presence / absence filter was applied, the highest-ranked differences had false detection rates of 30% even with the ratio method, and only 34 genes achieved this level.",level%1:07:00::
"The next step was to compute, for each target, the expression level ( R ) of the baseline array relative to all 12 arrays included in the study.",level%1:07:00::
The number of phylogenetic levels displayed (below the base level) can be modulated from one (the default) to five levels using the &quot;Display Phylogenetic Levels&quot; control in the Selection Frame.,level%1:07:00::
"The values present in our database for the attributes &quot;Organism,&quot; &quot;Phylogeny&quot; (except for the first level - Archaea, Bacteria, and Eukaryota - that can be selected from the main frame), &quot;Common Name&quot; (except for the first level: &quot;Animals,&quot; &quot;Fungi&amp;Plants,&quot; &quot;Protists&quot;), &quot;Accession Number,&quot; &quot;Intron Position,&quot; and &quot;Comment&quot; can only be observed in the right frame after clicking the &quot;V&quot; button.",level%1:26:01::
The most common way of understanding gene functions by expression profiling is to study the change of their expression levels in various disease states and cellular environments.,level%1:26:01::
"Furthermore, neural networks, through a strategy of train and differentiate, bring that information to the fore by progressively focusing on the genes within the larger set which are most responsible for the correct classifications, providing at once a reduction in the noise level and specific donor profiles.",level%1:26:01::
"Therefore, any variation in gene expression levels across the two generations should be due to the chip technology itself and the specificity of the probe set sequences.",level%1:26:01::
Both the S33A and S37A mutations displayed slightly higher basal levels of transcriptional activity than the wtp53 protein.,level%1:26:01::
"Since Tag did not decrease simultaneously with an increasing G 1 time, and since Tag was one of the G 1 rate-limiting molecules, the activity of Tag must have been decreasing while Tag levels increased.",level%1:26:01::
"This effect is predictive of the plateau growth phase levels of Tag and thus, ultimately should affect, in the case of Tag or similar oncogenes, the fate of clones in polyclonal populations.",level%1:26:01::
We asked whether Tag expression in immortalized mouse cells always increased as a function of G 1 time during exponential growth and whether levels eventually decreased or achieved a steady state level at high cell density.,level%1:26:01::
"Accordingly, the myristoylation results (Figure 6Aand 6B, lanes 5 and 6) strongly suggested that α i2 and sα i2 are translated equally well, as evidenced by similar levels of radiolabeled myristate incorporation during the labeling period, but sα i2 is more rapidly degraded, as seen by reduced steady-state levels of immunoprecipitated protein.",level%1:26:01::
"Incubation at 33°C results in significantly higher levels of green fluorescence (unpublished data), presumably because of better folding of the jellyfish GFP.",level%1:26:01::
Northern analysis showed that the PPT1 mRNA levels also increased in early log phase and decreased as the cell division decreased upon entering the stationary phase (Fig.,level%1:26:01::
"In this report we have characterized the activity of recombinant Ppt1p, analyzed its expression at the level of protein and mRNA, and localized Ppt1p in yeast.",level%1:26:01::
The final amount of DNA was adjusted to an equal level using pPacPL vector DNA.,level%1:26:01::
"In contrast, co-transfection with a DFz2 plasmid augmented Wg signaling more than 1000-fold above control levels and about 30-fold above levels observed with Wg alone, suggesting that DFz2 was required for efficient Wg signaling and, although detectable in S2 cells, was present in limiting amounts.",level%1:26:01::
It was suggested that this excess neural tissue arose from specification of excess uncommitted precursor cells to a neural fate once levels of the overexpressed Notch protein fell.,level%1:26:01::
"Using highly specific monoclonal antibodies in antibody combinations carefully formulated by BD Transduction Laboratories, this multiprotein assay detects proteins to the nanogram levels and can distinguish closely related members of many important signaling families.",level%1:26:01::
At the ultrastructural level developing laterals resemble bristles and not hairs [ 8 ] . They contain a series of large bundles of F-actin that are juxtaposed to the plasma membrane.,level%1:26:01::
"In addition, a cell-encoded protein from Drosophila showed relatedness at a high level of significance to the baculovirus ld130 protein group.",level%1:26:01::
"These populations were clearly superior at the lower concentration, which, in hindsight, likely results from their familiarity with this glucose level.",level%1:26:01::
"Rate constancy was assessed using a chi-square test [ 22 ] under increasing stringency (5, 10, 40% significance levels); p-values were recorded for each protein.",level%1:26:01::
Proteins determined to be rate constant at different significance levels were concatenated and analyzed in MEGA2 [ 29 ] . Nematode position and evolutionary distance were determined for each concatenation.,level%1:26:01::
"Indeed, a recent report is consistent with this idea in suggesting that the number of protein-protein interactions significantly affects rates of evolution [ 4 ] . However, upon investigation of this relationship at multiple levels of evolutionary relatedness, we found that there was only a slight correlation, at best, between evolutionary rates and the number of protein-protein interactions.",level%1:26:01::
5 mmHg) and demonstrated significant differences in intraocular pressure levels between four mouse strains.,level%1:26:01::
"Since truncated fragments may be unstable in yeast and may not accumulate to levels sufficient to produce a positive result, we used roughly equal amounts of each truncated protein to test for binding to TOP1 in nuclear extracts.",level%1:26:01::
"Each gene was categorized into one of four levels (undetectable 0; low, 0-1.",level%1:26:01::
"For each pair of experimental conditions, a gene was considered to be &quot;regulated&quot; if it showed at least a two-fold change in expression level (either up- or down-regulated) between conditions, and &quot;unregulated&quot; if the expression ratio was less than two-fold.",level%1:26:01::
